AVC_ID,이정,등록일,노선번호,도로명,지역본부코드,지역본부명,지사코드,지사명,위도값,경도값,도로등급구분코드,도로등급구분명,장비소속구분코드,장비소속구분명,출력페이지번호,한페이지당출력건수
0010AV00100 ,8.30km,20110210,0010,경부선,700000,부산경남본부,710900,서울산지사,35.306760,129.074830,101,고속국도,00,본선,,
0010AV00150 ,16.50km,20130104,0010,경부선,700000,부산경남본부,710900,서울산지사,35.366470,129.047160,101,고속국도,00,본선,,
0010AV00200 ,27.50km,        ,0010,경부선,700000,부산경남본부,710900,서울산지사,35.458890,129.081700,101,고속국도,  ,,,
0010AV00240 ,39.10km,20110201,0010,경부선,700000,부산경남본부,710900,서울산지사,35.558070,129.126080,101,고속국도,  ,,,
0010AV00260 ,53.40km,20181206,0010,경부선,700000,부산경남본부,710900,서울산지사,35.679569,129.180024,101,고속국도,00,본선,,
0010AV00280 ,72.80km,20181206,0010,경부선,600000,대구경북본부,610200,대구지사,35.818274,129.140095,101,고속국도,00,본선,,
0010AV00300 ,107.31km,        ,0010,경부선,600000,대구경북본부,610200,대구지사,35.882250,128.849210,101,고속국도,  ,,,
0010AV00360 ,118.50km,20110201,0010,경부선,600000,대구경북본부,610200,대구지사,35.875190,128.730850,101,고속국도,  ,,,
0010AV00400 ,124.60km,        ,0010,경부선,600000,대구경북본부,610200,대구지사,35.901080,128.674700,101,고속국도,  ,,,
0010AV00450 ,130.50km,20110201,0010,경부선,600000,대구경북본부,610200,대구지사,35.916120,128.617630,101,고속국도,  ,,,
0010AV00500 ,135.70km,        ,0010,경부선,600000,대구경북본부,610200,대구지사,35.904700,128.561890,101,고속국도,  ,,,
0010AV00570 ,161.22km,20110201,0010,경부선,600000,대구경북본부,610100,구미지사,36.039010,128.411530,101,고속국도,  ,,,
0010AV00600 ,168.89km,        ,0010,경부선,600000,대구경북본부,610100,구미지사,36.077990,128.360010,101,고속국도,  ,,,
0010AV00620 ,188.02km,20121107,0010,경부선,600000,대구경북본부,610100,구미지사,36.158600,128.210850,101,고속국도,00,본선,,
0010AV00900 ,258.30km,        ,0010,경부선,400000,대전충남본부,410500,영동지사,36.309670,127.572490,101,고속국도,  ,,,
0010AV01000 ,269.50km,        ,0010,경부선,400000,대전충남본부,410200,대전지사,36.346900,127.470720,101,고속국도,  ,,,
0010AV01050 ,276.10km,20160106,0010,경부선,400000,대전충남본부,410200,대전지사,36.388980,127.423800,101,고속국도,00,본선,,
0010AV01140 ,295.30km,20110418,0010,경부선,400000,대전충남본부,410200,대전지사,36.553630,127.432100,101,고속국도,00,본선,,
0010AV01141 ,295.60km,20110420,0010,경부선,400000,대전충남본부,410200,대전지사,36.556320,127.432500,101,고속국도,00,본선,,
0010AV01150 ,297.90km,20121030,0010,경부선,400000,대전충남본부,410200,대전지사,36.576670,127.427790,101,고속국도,00,본선,,
0010AV01155 ,298.70km,20121030,0010,경부선,400000,대전충남본부,410200,대전지사,36.583860,127.427240,101,고속국도,00,본선,,
0010AV01160 ,301.90km,20110201,0010,경부선,400000,대전충남본부,410200,대전지사,36.606350,127.407910,101,고속국도,  ,,,
0010AV01200 ,306.80km,20131224,0010,경부선,400000,대전충남본부,410100,천안지사,36.640860,127.377820,101,고속국도,00,본선,,
0010AV01230 ,327.60km,20200109,0010,경부선,400000,대전충남본부,410100,천안지사,,,101,고속국도,00,본선,,
0010AV01240 ,328.05km,20200416,0010,경부선,400000,대전충남본부,410100,천안지사,,,101,고속국도,00,본선,,
0010AV01250 ,335.20km,20111229,0010,경부선,400000,대전충남본부,410100,천안지사,36.783810,127.174230,101,고속국도,00,본선,,
0010AV01270 ,345.20km,20121030,0010,경부선,400000,대전충남본부,410100,천안지사,36.869120,127.186950,101,고속국도,00,본선,,
0010AV01320 ,361.30km,20111226,0010,경부선,200000,수도권본부,210300,수원지사,37.005540,127.149950,101,고속국도,00,본선,,
0010AV01340 ,372.23km,20160113,0010,경부선,200000,수도권본부,210300,수원지사,37.099580,127.119220,101,고속국도,00,본선,,
0010AV01350 ,380.10km,20110201,0010,경부선,200000,수도권본부,210300,수원지사,37.160090,127.088610,101,고속국도,  ,,,
0010AV01365 ,384.50km,20111226,0010,경부선,200000,수도권본부,210300,수원지사,37.122000,127.054000,101,고속국도,00,본선,,
0010AV01380 ,388.00km,20110201,0010,경부선,200000,수도권본부,210300,수원지사,37.228630,127.105740,101,고속국도,  ,,,
0010AV01420 ,393.20km,20110201,0010,경부선,200000,수도권본부,210300,수원지사,37.275000,127.103760,101,고속국도,  ,,,
0010AV01450 ,397.40km,20110201,0010,경부선,200000,수도권본부,210300,수원지사,37.312840,127.103560,101,고속국도,  ,,,
0010AV01480 ,410.41km,20151229,0010,경부선,200000,수도권본부,210300,수원지사,37.422000,127.078270,101,고속국도,00,본선,,
0010AV01700 ,144.11km,20160104,0010,경부선,600000,대구경북본부,610100,구미지사,35.913610,128.488570,101,고속국도,00,본선,,
0010AV01800 ,262.60km,20160111,0010,경부선,400000,대전충남본부,410500,영동지사,36.332550,127.533970,101,고속국도,00,본선,,
0100AV00020 ,1.60km,20130103,0100,남해선(순천-부산),500000,광주전남본부,510300,순천지사,34.994660,127.494950,101,고속국도,  ,,,
0100AV00100 ,15.30km,20131224,0100,남해선(순천-부산),500000,광주전남본부,510300,순천지사,34.963200,127.626960,101,고속국도,00,본선,,
0100AV00200 ,40.70km,        ,0100,남해선(순천-부산),700000,부산경남본부,710400,진주지사,35.023110,127.856740,101,고속국도,00,본선,,
0100AV00310 ,66.80km,20120210,0100,남해선(순천-부산),700000,부산경남본부,710400,진주지사,35.123400,128.095790,101,고속국도,00,본선,,
0100AV00320 ,69.80km,20120210,0100,남해선(순천-부산),700000,부산경남본부,710400,진주지사,35.148640,128.104190,101,고속국도,00,본선,,
0100AV00330 ,73.50km,20120210,0100,남해선(순천-부산),700000,부산경남본부,710400,진주지사,35.165610,128.137000,101,고속국도,00,본선,,
0100AV00350 ,86.90km,20140109,0100,남해선(순천-부산),700000,부산경남본부,710400,진주지사,35.213300,128.263320,101,고속국도,00,본선,,
0100AV00390 ,108.00km,20120210,0100,남해선(순천-부산),700000,부산경남본부,710300,창원지사,35.278810,128.429170,101,고속국도,00,본선,,
0100AV00800 ,112.40km,20110201,0100,남해선(순천-부산),700000,부산경남본부,710300,창원지사,35.271480,128.475190,101,고속국도,  ,,,
0100AV01000 ,117.70km,20130104,0100,남해선(순천-부산),700000,부산경남본부,710300,창원지사,35.283520,128.515780,101,고속국도,00,본선,,
0100AV01300 ,128.50km,20130529,0100,남해선(순천-부산),700000,부산경남본부,710300,창원지사,35.278000,128.629760,101,고속국도,00,본선,,
0100AV01500 ,131.20km,20130104,0100,남해선(순천-부산),700000,부산경남본부,710300,창원지사,35.271740,128.658360,101,고속국도,00,본선,,
0100AV02000 ,141.90km,20141211,0100,남해선(순천-부산),700000,부산경남본부,710300,창원지사,35.252940,128.758470,101,고속국도,00,본선,,
0100AV02500 ,150.10km,20150603,0100,남해선(순천-부산),700000,부산경남본부,710500,양산지사,35.224450,128.824370,101,고속국도,00,본선,,
0100AV03000 ,159.20km,20141211,0100,남해선(순천-부산),700000,부산경남본부,710500,양산지사,35.224150,128.922850,101,고속국도,00,본선,,
0101AV00100 ,1.30km,20120523,0101,남해선(영암-순천),500000,광주전남본부,511000,보성지사,34.747110,126.535320,101,고속국도,00,본선,,
0101AV00400 ,54.90km,20120523,0101,남해선(영암-순천),500000,광주전남본부,511000,보성지사,34.793410,127.047950,101,고속국도,00,본선,,
0101AV00500 ,65.12km,20120523,0101,남해선(영암-순천),500000,광주전남본부,511000,보성지사,34.807390,127.154300,101,고속국도,00,본선,,
0101AV00700 ,87.40km,20120523,0101,남해선(영암-순천),500000,광주전남본부,511000,보성지사,34.823340,127.378380,101,고속국도,00,본선,,
0120AV00100 ,9.64km,20131224,0120,광주대구선,500000,광주전남본부,510200,광주지사,35.264280,126.972700,101,고속국도,00,본선,,
0120AV00200 ,6.15km,20131224,0120,광주대구선,500000,광주전남본부,510200,광주지사,35.236310,126.961110,101,고속국도,00,본선,,
0120AV00300 ,172.63km,        ,0120,광주대구선,600000,대구경북본부,610300,고령지사,35.739410,128.318020,101,고속국도,  ,,,
0120AV00400 ,39.70km,20151126,0120,광주대구선,500000,광주전남본부,510400,남원지사,35.379820,127.220540,101,고속국도,00,본선,,
0120AV00500 ,52.92km,20151126,0120,광주대구선,500000,광주전남본부,510400,남원지사,35.417960,127.349240,101,고속국도,00,본선,,
0120AV00600 ,95.71km,        ,0120,광주대구선,600000,대구경북본부,610300,고령지사,35.532280,127.697910,101,고속국도,00,본선,,
0120AV00700 ,112.98km,        ,0120,광주대구선,600000,대구경북본부,610300,고령지사,35.578270,127.851000,101,고속국도,00,본선,,
0120AV00800 ,133.22km,        ,0120,광주대구선,600000,대구경북본부,610300,고령지사,35.707170,128.043940,101,고속국도,00,본선,,
0120AV00900 ,161.71km,        ,0120,광주대구선,600000,대구경북본부,610300,고령지사,35.743240,128.331270,101,고속국도,00,본선,,
0120AV01000 ,165.67km,20160104,0120,광주대구선,600000,대구경북본부,610300,고령지사,35.707290,128.264240,101,고속국도,00,본선,,
0121AV00100 ,2.70km,20131224,0121,무안광주선,500000,광주전남본부,510500,함평지사,35.007790,126.415940,101,고속국도,00,본선,,
0121AV00200 ,6.57km,20131224,0121,무안광주선,500000,광주전남본부,510500,함평지사,35.016830,126.455470,101,고속국도,00,본선,,
0121AV00300 ,12.70km,20131224,0121,무안광주선,500000,광주전남본부,510500,함평지사,35.039630,126.516720,101,고속국도,00,본선,,
0121AV00700 ,36.40km,20131224,0121,무안광주선,500000,광주전남본부,510500,함평지사,35.130340,126.742880,101,고속국도,00,본선,,
0140AV00100 ,3.50km,20131224,0140,고창담양선,500000,광주전남본부,510700,담양지사,35.397790,126.683160,101,고속국도,00,본선,,
0140AV00200 ,27.30km,20131224,0140,고창담양선,500000,광주전남본부,510700,담양지사,35.265290,126.875310,101,고속국도,00,본선,,
0140AV00300 ,38.80km,20110201,0140,고창담양선,500000,광주전남본부,510700,담양지사,35.250350,126.996720,101,고속국도,  ,,,
0140AV00400 ,14.75km,20160325,0140,고창담양선,500000,광주전남본부,510700,담양지사,35.341670,126.786670,101,고속국도,00,본선,,
0141AV00500 ,100.79km,20201110,0141,함양울산선,700000,부산경남본부,710900,서울산지사,35.512402,128.801733,101,고속국도,  ,,,
0141AV00550 ,128.84km,20201110,0141,함양울산선,700000,부산경남본부,710900,서울산지사,35.519095,129.092263,101,고속국도,  ,,,
0141AV00600 ,131.51km,20201110,0141,함양울산선,700000,부산경남본부,710900,서울산지사,35.513274,129.120719,101,고속국도,  ,,,
0141AV00650 ,142.40km,20201110,0141,함양울산선,700000,부산경남본부,710900,서울산지사,35.503030,129.235395,101,고속국도,  ,,,
0150AV00050 ,10.37km,20120125,0150,서해안선,500000,광주전남본부,510500,함평지사,34.924770,126.498300,101,고속국도,00,본선,,
0150AV00100 ,28.91km,20131224,0150,서해안선,500000,광주전남본부,510500,함평지사,35.055990,126.480850,101,고속국도,00,본선,,
0150AV00200 ,88.70km,        ,0150,서해안선,800000,전북본부,810600,부안지사,35.542960,126.690750,101,고속국도,  ,,,
0150AV00250 ,130.90km,20130103,0150,서해안선,800000,전북본부,810600,부안지사,35.888840,126.844590,101,고속국도,  ,,,
0150AV00300 ,138.61km,        ,0150,서해안선,400000,대전충남본부,411300,부여지사,35.963170,126.820240,101,고속국도,  ,,,
0150AV00400 ,150.40km,        ,0150,서해안선,800000,전북본부,810300,보령지사,36.049690,126.785540,101,고속국도,  ,,,
0150AV00500 ,153.20km,        ,0150,서해안선,800000,전북본부,810300,보령지사,36.063640,126.761200,101,고속국도,  ,,,
0150AV00600 ,183.90km,        ,0150,서해안선,800000,전북본부,810300,보령지사,36.259270,126.561450,101,고속국도,  ,,,
0150AV00650 ,226.70km,20111229,0150,서해안선,400000,대전충남본부,410700,당진지사,36.615030,126.554170,101,고속국도,00,본선,,
0150AV00800 ,252.60km,        ,0150,서해안선,400000,대전충남본부,410700,당진지사,36.837440,126.597660,101,고속국도,  ,,,
0150AV00900 ,259.80km,        ,0150,서해안선,400000,대전충남본부,410700,당진지사,36.866350,126.668180,101,고속국도,  ,,,
0150AV01000 ,283.50km,        ,0150,서해안선,400000,대전충남본부,410700,당진지사,36.983670,126.870270,101,고속국도,  ,,,
0150AV01020 ,286.60km,20141120,0150,서해안선,200000,수도권본부,210700,화성지사,37.011520,126.870410,101,고속국도,  ,,,
0150AV01030 ,295.80km,20160113,0150,서해안선,200000,수도권본부,210700,화성지사,37.091640,126.887000,101,고속국도,00,본선,,
0150AV01050 ,305.90km,20111226,0150,서해안선,200000,수도권본부,210700,화성지사,37.180860,126.873260,101,고속국도,00,본선,,
0150AV01070 ,314.20km,20111226,0150,서해안선,200000,수도권본부,210700,화성지사,37.253840,126.884090,101,고속국도,00,본선,,
0150AV01150 ,320.05km,20110201,0150,서해안선,200000,수도권본부,210700,화성지사,37.302590,126.898740,101,고속국도,  ,,,
0150AV01180 ,324.92km,20110201,0150,서해안선,200000,수도권본부,210700,화성지사,37.339250,126.870860,101,고속국도,  ,,,
0150AV01210 ,328.01km,20151229,0150,서해안선,200000,수도권본부,210800,시흥지사,37.360990,126.866020,101,고속국도,00,본선,,
0150AV01230 ,330.77km,20151229,0150,서해안선,200000,수도권본부,210800,시흥지사,37.384770,126.867640,101,고속국도,00,본선,,
0150AV01260 ,334.24km,20151229,0150,서해안선,200000,수도권본부,210800,시흥지사,37.409450,126.888220,101,고속국도,00,본선,,
0150AV01400 ,337.00km,20110201,0150,서해안선,200000,수도권본부,210800,시흥지사,37.433290,126.897910,101,고속국도,  ,,,
0150AV01500 ,62.10km,20151222,0150,서해안선,800000,전북본부,810600,부안지사,35.332420,126.573040,101,고속국도,00,본선,,
0150AV01600 ,10.45km,20160325,0150,서해안선,500000,광주전남본부,510500,함평지사,34.891940,126.498890,101,고속국도,00,본선,,
0160AV00100 ,5.80km,        ,0160,울산선,700000,부산경남본부,710800,경주지사,35.560040,129.183290,101,고속국도,  ,,,
0200AV00100 ,11.60km,        ,0200,대구포항선,600000,대구경북본부,610700,영천지사,35.952500,128.766180,101,고속국도,  ,,,
0200AV00200 ,36.47km,        ,0200,대구포항선,600000,대구경북본부,610700,영천지사,36.054780,128.993810,101,고속국도,  ,,,
0201AV00100 ,4.60km,        ,0201,익산장수선,800000,전북본부,810100,논산지사,35.913620,127.124030,101,고속국도,  ,,,
0201AV00200 ,8.10km,        ,0201,익산장수선,800000,전북본부,810100,논산지사,35.896540,127.156090,101,고속국도,  ,,,
0201AV00300 ,13.10km,        ,0201,익산장수선,800000,전북본부,810700,진안지사,35.873080,127.201570,101,고속국도,  ,,,
0201AV00500 ,46.20km,        ,0201,익산장수선,800000,전북본부,810700,진안지사,35.774410,127.476740,101,고속국도,  ,,,
0251AV00100 ,13.00km,20131224,0251,호남선,500000,광주전남본부,510300,순천지사,35.023640,127.343680,101,고속국도,00,본선,,
0251AV00150 ,149.00km,20130103,0251,호남선,800000,전북본부,810500,전주지사,35.712590,126.972020,101,고속국도,  ,,,
0251AV00200 ,44.75km,20131224,0251,호남선,500000,광주전남본부,510700,담양지사,35.241380,127.189890,101,고속국도,00,본선,,
0251AV00260 ,65.20km,20110201,0251,호남선,500000,광주전남본부,510200,광주지사,35.225700,126.990410,101,고속국도,  ,,,
0251AV00300 ,72.10km,20131224,0251,호남선,500000,광주전남본부,510200,광주지사,35.200230,126.929470,101,고속국도,00,본선,,
0251AV00400 ,75.40km,20131224,0251,호남선,500000,광주전남본부,510200,광주지사,35.183300,126.912810,101,고속국도,00,본선,,
0251AV00440 ,83.80km,20110201,0251,호남선,500000,광주전남본부,510200,광주지사,35.209590,126.831890,101,고속국도,  ,,,
0251AV00460 ,87.90km,20190116,0251,호남선,500000,광주전남본부,510200,광주지사,35.142630,126.490750,101,고속국도,00,본선,,
0251AV00500 ,104.15km,20131224,0251,호남선,500000,광주전남본부,510200,광주지사,35.371420,126.808510,101,고속국도,00,본선,,
0251AV00700 ,176.60km,20110201,0251,호남선,800000,전북본부,810500,전주지사,35.934530,127.081420,101,고속국도,  ,,,
0251AV00800 ,181.20km,20110201,0251,호남선,800000,전북본부,810100,논산지사,35.969630,127.104990,101,고속국도,  ,,,
0251AV00900 ,187.90km,20110201,0251,호남선,800000,전북본부,810100,논산지사,36.025980,127.103240,101,고속국도,  ,,,
0251AV01000 ,57.95km,20160325,0251,호남선,500000,광주전남본부,510700,담양지사,35.254440,127.228610,101,고속국도,00,본선,,
0251AV01100 ,98.42km,20160325,0251,호남선,500000,광주전남본부,510200,광주지사,35.320000,126.799440,101,고속국도,00,본선,,
0270AV00100 ,4.40km,20110201,0270,순천완주선,500000,광주전남본부,510900,구례지사,34.982210,127.546830,101,고속국도,  ,,,
0270AV00400 ,47.80km,20110201,0270,순천완주선,500000,광주전남본부,510900,구례지사,35.324530,127.364260,101,고속국도,  ,,,
0270AV00500 ,55.60km,20110201,0270,순천완주선,500000,광주전남본부,510900,구례지사,35.383870,127.319610,101,고속국도,  ,,,
0270AV00600 ,60.90km,20110201,0270,순천완주선,500000,광주전남본부,510900,구례지사,35.428270,127.309530,101,고속국도,  ,,,
0270AV00800 ,83.09km,20110201,0270,순천완주선,500000,광주전남본부,510900,구례지사,35.614720,127.335170,101,고속국도,  ,,,
0270AV01100 ,115.60km,20110201,0270,순천완주선,800000,전북본부,810700,진안지사,35.866620,127.184150,101,고속국도,  ,,,
0300AV00100 ,4.00km,        ,0300,청주영덕선,900000,충북본부,910400,보은지사,36.551780,127.470900,101,고속국도,  ,,,
0300AV00300 ,24.50km,        ,0300,청주영덕선,900000,충북본부,910400,보은지사,36.472570,127.667380,101,고속국도,  ,,,
0300AV00500 ,44.50km,        ,0300,청주영덕선,900000,충북본부,910400,보은지사,36.447410,127.882800,101,고속국도,  ,,,
0300AV00700 ,76.30km,        ,0300,청주영덕선,900000,충북본부,910400,보은지사,36.371000,128.199460,101,고속국도,  ,,,
0300AV00800 ,91.40km,20161215,0300,청주영덕선,600000,대구경북본부,610900,청송지사,36.385303,128.361345,101,고속국도,00,본선,,
0300AV00900 ,100.20km,20161215,0300,청주영덕선,600000,대구경북본부,610900,청송지사,36.409391,128.454677,101,고속국도,00,본선,,
0300AV01000 ,120.80km,20161215,0300,청주영덕선,600000,대구경북본부,610900,청송지사,36.423098,128.673649,101,고속국도,00,본선,,
0300AV01100 ,145.00km,20161215,0300,청주영덕선,600000,대구경북본부,610900,청송지사,36.437610,128.925734,101,고속국도,00,본선,,
0300AV01200 ,172.30km,20161215,0300,청주영덕선,600000,대구경북본부,610900,청송지사,36.466241,129.201228,101,고속국도,00,본선,,
0300AV01300 ,191.00km,20161215,0300,청주영덕선,600000,대구경북본부,610900,청송지사,36.375471,128.318929,101,고속국도,00,본선,,
0301AV00100 ,2.20km,        ,0301,당진대전선,400000,대전충남본부,410700,당진지사,36.834890,126.632610,101,고속국도,  ,,,
0301AV00400 ,26.60km,        ,0301,당진대전선,400000,대전충남본부,411100,공주지사,36.664770,126.794660,101,고속국도,  ,,,
0301AV00700 ,59.40km,        ,0301,당진대전선,400000,대전충남본부,411100,공주지사,36.483670,127.051990,101,고속국도,  ,,,
0301AV00800 ,61.50km,        ,0301,당진대전선,400000,대전충남본부,411100,공주지사,36.486790,127.074990,101,고속국도,  ,,,
0301AV01100 ,79.20km,        ,0301,당진대전선,400000,대전충남본부,411100,공주지사,36.466080,127.249570,101,고속국도,  ,,,
0301AV01200 ,88.60km,        ,0301,당진대전선,400000,대전충남본부,411100,공주지사,36.400650,127.307440,101,고속국도,  ,,,
0351AV00050 ,16.50km,20120210,0351,통영대전선,700000,부산경남본부,710700,고성지사,34.984260,128.369400,101,고속국도,00,본선,,
0351AV00130 ,39.00km,20130104,0351,통영대전선,700000,부산경남본부,710700,고성지사,35.091960,128.172510,101,고속국도,00,본선,,
